epoch, wall, LR,training_loss_force_constant,training_loss_e,training_loss,training_f_mae,training_e/N_mae,training_force_constant_mae,validation_loss_force_constant,validation_loss_e,validation_loss,validation_f_mae,validation_e/N_mae,validation_force_constant_mae
       131, 4178.083,    0.005,            841.2,            124.5,            965.7,        0.814,         8.55,          841,           775.56,           1.0935,           776.66,         1.59,        0.888,          776
       132, 4209.370,    0.005,           891.92,           121.59,           1013.5,        0.812,         7.57,          892,           777.22,           1.7609,           778.98,         1.58,         1.18,          777
       133, 4240.644,    0.005,           909.15,           175.34,           1084.5,        0.806,         11.2,          909,           763.32,           1.9316,           765.26,         1.55,         1.26,          763
       134, 4271.905,    0.005,           897.36,           112.52,           1009.9,        0.891,         8.08,          897,           789.86,           2.7995,           792.66,         1.58,         1.53,          790
       135, 4303.245,    0.005,            880.7,           31.394,           912.09,        0.761,         4.45,          881,           764.53,           2.3277,           766.86,         1.56,         1.39,          765
       136, 4334.502,    0.005,           847.41,           40.408,           887.81,        0.766,         5.35,          847,           755.27,           2.0754,           757.34,         1.58,         1.23,          755
       137, 4365.753,    0.005,           705.65,           41.356,              747,        0.801,         5.51,          706,           751.22,           3.0748,           754.29,          1.6,         1.41,          751
       138, 4397.055,    0.005,           710.38,           151.98,           862.36,        0.778,          9.1,          710,           751.22,           2.4397,           753.66,         1.57,         1.43,          751
       139, 4428.296,    0.005,           769.04,           114.36,            883.4,         0.77,         9.04,          769,           745.87,            1.877,           747.75,         1.51,         1.33,          746
       140, 4459.590,    0.005,           1062.5,           56.407,           1118.9,        0.765,         5.89,     1.06e+03,           747.27,           2.9162,           750.19,          1.5,         1.66,          747
       141, 4490.870,    0.005,           740.22,           83.207,           823.43,        0.825,          7.2,          740,           747.23,           3.0751,           750.31,         1.52,         1.54,          747
       142, 4522.128,    0.005,           988.86,           12.293,           1001.1,        0.782,         2.49,          989,           731.29,           2.5429,           733.83,         1.53,         1.51,          731
       143, 4553.388,    0.005,           947.35,           11.935,           959.28,        0.849,          2.7,          947,           734.16,           2.4049,           736.57,         1.52,         1.41,          734
       144, 4584.628,    0.005,           694.77,           9.2399,           704.01,          0.7,         2.55,          695,           725.22,           2.1924,           727.41,         1.53,         1.37,          725
       145, 4615.869,    0.005,           761.22,           9.7905,           771.01,        0.755,         2.36,          761,           717.23,           1.9671,           719.19,         1.54,         1.25,          717
       146, 4647.093,    0.005,           832.68,           30.964,           863.65,        0.748,         4.03,          833,            704.4,            1.901,            706.3,         1.52,         1.27,          704
       147, 4678.301,    0.005,           661.45,           10.225,           671.68,        0.795,         2.49,          661,           691.38,           1.9624,           693.35,         1.53,         1.23,          691
       148, 4709.558,    0.005,           823.55,           9.8481,            833.4,        0.747,         2.45,          824,           681.34,           1.9314,           683.27,         1.52,         1.21,          681
       149, 4740.792,    0.005,           931.46,           4.3783,           935.84,        0.729,         1.74,          931,           697.91,           1.8808,           699.79,         1.51,         1.19,          698
       150, 4771.983,    0.005,           823.03,           5.4137,           828.44,        0.701,         1.81,          823,           716.71,           1.6015,           718.31,          1.5,         1.13,          717
       151, 4803.210,    0.005,           708.39,            16.63,           725.02,        0.729,         2.97,          708,              703,            1.721,           704.72,         1.48,         1.14,          703
       152, 4834.384,    0.005,           745.58,           27.519,            773.1,         0.74,         4.21,          746,           658.49,           2.1098,            660.6,         1.41,         1.21,          658
       153, 4865.624,    0.005,           631.16,            25.87,           657.03,        0.753,         3.68,          631,           675.29,           2.0115,            677.3,          1.4,          1.2,          675
       154, 4896.844,    0.005,           645.02,           10.567,           655.58,        0.755,         2.37,          645,           651.81,           2.0465,           653.86,         1.42,         1.21,          652
       155, 4928.053,    0.005,           729.88,            13.77,           743.65,        0.716,         3.03,          730,           645.88,           1.6626,           647.55,         1.42,         1.13,          646
       156, 4959.289,    0.005,           678.51,           28.488,              707,        0.729,         4.55,          679,           650.66,           2.2584,           652.92,         1.41,         1.26,          651
       157, 4990.520,    0.005,           742.83,           45.739,           788.57,        0.721,         5.87,          743,           632.88,           2.2027,           635.08,         1.42,          1.3,          633
       158, 5021.753,    0.005,           799.92,           11.256,           811.17,        0.725,         2.65,          800,           625.62,           2.0723,           627.69,         1.42,          1.2,          626
       159, 5053.054,    0.005,           919.93,           20.836,           940.77,        0.684,         3.53,          920,           636.08,           1.8921,           637.97,         1.39,         1.24,          636
       160, 5084.268,    0.005,           966.91,           16.169,           983.08,        0.739,          3.2,          967,           650.69,           2.2893,           652.97,         1.45,         1.31,          651
       161, 5115.500,    0.005,           820.76,           54.085,           874.85,         0.66,          6.4,          821,           622.13,           1.8036,           623.94,         1.42,         1.14,          622
       162, 5146.706,    0.005,           583.54,           72.681,           656.22,        0.654,          6.4,          584,           610.69,           1.7121,            612.4,         1.39,         1.17,          611
       163, 5177.955,    0.005,           507.27,           16.725,           523.99,        0.579,         2.85,          507,           585.53,           1.6526,           587.18,         1.36,         1.15,          586
       164, 5209.178,    0.005,           571.49,           3.3053,           574.79,        0.665,         1.53,          571,           589.17,           1.4584,           590.63,         1.34,         1.05,          589
       165, 5240.480,    0.005,           731.46,           10.985,           742.45,        0.629,         2.78,          731,           579.12,           1.4272,           580.55,         1.28,        0.951,          579
       166, 5271.691,    0.005,           636.74,            8.457,            645.2,         0.67,          2.2,          637,           575.55,           1.2231,           576.78,          1.3,        0.876,          576
       167, 5302.968,    0.005,              641,           4.8455,           645.85,        0.629,         1.83,          641,           563.43,           1.2396,           564.67,         1.26,        0.956,          563
       168, 5334.209,    0.005,           615.56,           6.1661,           621.73,        0.597,         2.04,          616,           571.75,           1.2915,           573.05,         1.29,        0.988,          572
       169, 5365.439,    0.005,           803.05,           10.067,           813.12,        0.663,         2.57,          803,           563.16,           1.2982,           564.46,         1.24,         1.03,          563
       170, 5396.706,    0.005,           597.09,           8.2841,           605.37,        0.605,         2.26,          597,           581.13,           1.1329,           582.27,         1.26,         0.97,          581
       171, 5427.930,    0.005,           781.18,            16.31,           797.49,        0.567,         3.33,          781,           563.11,           1.0775,           564.18,         1.27,        0.904,          563
