epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    2,    69,           5548.2,           5422.7,           125.52,            0.142,           11.203,           5422.7
    2,    70,           1202.6,           1200.1,           2.5662,          0.25299,           1.6019,           1200.1
    2,    71,           1726.7,           1702.5,           24.214,           0.2602,           4.9208,           1702.5
    2,    72,           1743.1,           1740.7,           2.3763,          0.32176,           1.5415,           1740.7
    2,    73,           2048.6,           1984.5,           64.074,          0.32204,           8.0046,           1984.5
    2,    74,           1899.1,           1575.4,           323.68,         0.065042,           17.991,           1575.4
    2,    75,           1167.2,           1102.6,           64.614,          0.29333,           8.0383,           1102.6
    2,    76,           1234.1,           1231.6,           2.5317,          0.19862,           1.5911,           1231.6
    2,    77,           875.97,           852.87,           23.096,          0.22122,           4.8058,           852.87
    2,    78,             1480,           1414.6,           65.418,          0.32173,           8.0881,           1414.6
    2,    79,           1412.8,             1410,           2.8185,          0.29157,           1.6789,             1410
    2,    80,           1708.5,           1582.1,           126.33,          0.13705,            11.24,           1582.1
    2,    81,              925,           922.27,           2.7227,          0.21878,           1.6501,           922.27
    2,    82,           1199.3,           1176.5,           22.836,          0.30873,           4.7788,           1176.5
    2,    83,           1729.6,           1704.8,           24.796,          0.25546,           4.9795,           1704.8
    2,    84,           1840.2,           1809.6,           30.657,          0.10795,           5.5369,           1809.6
    2,    85,           1776.2,           1751.6,           24.644,          0.17821,           4.9642,           1751.6
    2,    86,           1515.4,           1383.2,           132.16,          0.19894,           11.496,           1383.2
    2,    87,            650.2,           648.03,           2.1629,          0.50374,           1.4707,           648.03
    2,    88,           1912.7,           1801.8,           110.85,          0.33209,           10.529,           1801.8
    2,    89,           1904.1,           1901.4,            2.684,          0.40383,           1.6383,           1901.4
    2,    90,           2475.4,           2433.2,           42.247,          0.62329,           6.4998,           2433.2
    2,    91,           590.65,           489.58,           101.07,          0.67213,           10.053,           489.58
    2,    92,           1920.4,           1892.2,           28.231,          0.11773,           5.3133,           1892.2
    2,    93,           2220.4,           1466.3,           754.12,          0.55005,           27.461,           1466.3
    2,    94,           1157.3,           1132.6,           24.671,          0.33281,            4.967,           1132.6
    2,    95,           1650.5,           1648.4,           2.0893,          0.32905,           1.4454,           1648.4
    2,    96,           1707.2,             1705,           2.2345,          0.45389,           1.4948,             1705
    2,    97,           1318.8,           1316.7,           2.1044,          0.45104,           1.4506,           1316.7
    2,    98,             1709,           1677.7,           31.385,           0.0877,           5.6022,           1677.7
    2,    99,           1376.7,           1313.9,           62.813,          0.39574,           7.9255,           1313.9
    2,   100,             1814,           1750.4,           63.594,          0.36434,           7.9746,           1750.4
    2,   101,           748.32,           724.18,           24.145,          0.20044,           4.9138,           724.18
    2,   102,           1713.9,           1649.7,           64.199,          0.28601,           8.0124,           1649.7
    2,   103,           1850.1,           1850.1,       0.00010265,          0.19676,         0.010132,           1850.1
    2,   104,           1811.8,           1600.3,            211.5,         0.057319,           14.543,           1600.3
    2,   105,           2393.4,           2385.1,           8.2299,         0.089104,           2.8688,           2385.1
    2,   106,           1637.8,           1635.5,           2.3199,          0.31363,           1.5231,           1635.5
    2,   107,             1832,           1807.2,           24.827,          0.31757,           4.9827,           1807.2
    2,   108,           984.37,           961.83,           22.541,          0.28046,           4.7478,           961.83
    2,   109,           1588.6,           1524.2,           64.379,          0.41523,           8.0236,           1524.2
    2,   110,             1289,           1264.4,           24.576,          0.16738,           4.9574,           1264.4
    2,   111,           1656.5,           1446.9,           209.61,          0.32384,           14.478,           1446.9
    2,   112,           1740.3,           1737.7,            2.526,          0.33824,           1.5893,           1737.7
    2,   113,           1053.2,           1030.4,           22.817,          0.44617,           4.7767,           1030.4
    2,   114,             1079,            863.1,           215.91,           0.2006,           14.694,            863.1
    2,   115,           963.15,           831.82,           131.33,          0.20658,            11.46,           831.82
    2,   116,           1357.6,           1225.6,           131.97,           0.2114,           11.488,           1225.6
    2,   117,           1322.9,           1258.9,           64.013,          0.33816,           8.0008,           1258.9
    2,   118,           2100.3,             1885,           215.38,          0.45408,           14.676,             1885
    2,   119,           1000.7,           998.43,           2.3208,          0.75118,           1.5234,           998.43
    2,   120,           1726.2,           1662.4,           63.727,          0.32545,           7.9829,           1662.4
    2,   121,           1382.1,           1379.9,           2.2301,          0.25057,           1.4933,           1379.9
    2,   122,           869.12,            766.2,           102.92,          0.62267,           10.145,            766.2
    2,   123,           1436.2,           1372.2,           64.069,          0.43603,           8.0043,           1372.2
    2,   124,           1466.9,           1452.1,           14.799,          0.16216,           3.8469,           1452.1
    2,   125,           2045.6,           1726.7,            318.9,          0.10266,           17.858,           1726.7
    2,   126,             1212,           1209.5,            2.444,          0.29758,           1.5633,           1209.5
    2,   127,             1551,           1520.7,           30.267,           0.1119,           5.5015,           1520.7
    2,   128,           1400.2,             1336,            64.26,         0.097217,           8.0162,             1336
    2,   129,           1380.5,           1170.1,           210.42,          0.16486,           14.506,           1170.1
    2,   130,           1372.4,             1370,           2.3995,          0.38016,            1.549,             1370
    2,   131,           1597.4,           1391.5,           205.88,          0.65191,           14.348,           1391.5
    2,   132,           345.64,           336.71,           8.9296,       2.1061e-06,           2.9882,           336.71
    2,   133,           3391.9,           20.201,           3371.7,       1.8294e-07,           58.066,           20.201
    2,   134,           2113.3,           1979.7,           133.59,         0.081676,           11.558,           1979.7
    2,   135,           1642.4,           1506.9,            135.5,         0.080047,            11.64,           1506.9
    2,   136,           1487.1,           1485.2,           1.9141,          0.10422,           1.3835,           1485.2
    2,   137,           1752.9,           1727.6,           25.364,          0.27995,           5.0363,           1727.6
    2,   138,           1185.7,           1183.3,           2.3593,          0.30238,            1.536,           1183.3
    2,   139,             1479,           1414.9,           64.094,          0.42463,           8.0059,           1414.9
    2,   140,           3895.8,           2147.5,           1748.3,          0.76495,           41.813,           2147.5
    2,   141,           1470.5,           1467.8,           2.7219,          0.45356,           1.6498,           1467.8
    2,   142,           1657.5,           1348.6,           308.91,          0.18385,           17.576,           1348.6
    2,   143,           1755.9,           1729.4,           26.505,          0.14889,           5.1483,           1729.4
    2,   144,           1560.7,           1537.1,           23.565,          0.21288,           4.8544,           1537.1
    2,   145,           1630.6,           894.25,           736.32,           0.1779,           27.135,           894.25
    2,   146,             1542,           1517.3,           24.719,          0.25856,           4.9718,           1517.3
    2,   147,           1808.5,           1745.3,             63.2,          0.43478,           7.9499,           1745.3
    2,   148,           1638.5,           1636.4,           2.1356,          0.28403,           1.4614,           1636.4
    2,   149,           1757.3,           1754.9,           2.3592,          0.40041,            1.536,           1754.9
    2,   150,           1568.4,           1437.6,           130.87,          0.33221,            11.44,           1437.6
    2,   151,           1441.5,           1441.4,        0.0096055,         0.098363,         0.098008,           1441.4
    2,   152,           1012.9,           999.63,           13.265,         0.054149,           3.6421,           999.63
    2,   153,           1447.8,           1445.4,           2.3777,          0.44599,            1.542,           1445.4
    2,   154,             1462,           1438.5,           23.496,          0.36696,           4.8473,           1438.5
    2,   155,           1779.9,           1756.4,           23.428,          0.45993,           4.8403,           1756.4
    2,   156,           673.49,           651.29,           22.199,          0.65417,           4.7116,           651.29
    2,   157,           943.36,           930.36,           13.007,         0.036486,           3.6066,           930.36
    2,   158,           1082.4,           870.87,           211.55,          0.22314,           14.545,           870.87
    2,   159,           1375.5,           1245.5,           129.95,          0.32052,             11.4,           1245.5
    2,   160,           1637.8,           1635.5,           2.2993,          0.39731,           1.5163,           1635.5
    2,   161,           1777.5,           1569.2,           208.31,          0.46412,           14.433,           1569.2
    2,   162,           1414.9,           1412.4,           2.5208,          0.37403,           1.5877,           1412.4
    2,   163,             1280,           1257.2,           22.773,          0.89732,           4.7721,           1257.2
    2,   164,             1682,           1555.6,           126.45,          0.29868,           11.245,           1555.6
    2,   165,           1235.6,           1212.2,           23.398,          0.36703,           4.8371,           1212.2
    2,   166,           1012.8,           990.19,           22.648,          0.75036,            4.759,           990.19
    2,   167,           953.86,           930.38,           23.478,          0.38423,           4.8454,           930.38
    2,   168,           1991.9,           1989.3,           2.6757,           0.4035,           1.6358,           1989.3
    3,     1,             1195,           1192.4,           2.5973,          0.25467,           1.6116,           1192.4
    3,     2,           1055.4,           1031.6,           23.806,          0.33126,           4.8791,           1031.6
    3,     3,           1650.3,           1647.3,            2.946,          0.29692,           1.7164,           1647.3
    3,     4,             1184,           1181.2,           2.8132,          0.30992,           1.6773,           1181.2
    3,     5,           1460.9,           1337.1,           123.78,          0.23745,           11.126,           1337.1
    3,     6,           1177.9,           1155.8,           22.073,          0.20319,           4.6982,           1155.8
    3,     7,           965.02,           940.15,           24.871,          0.42571,            4.987,           940.15
    3,     8,           594.79,           591.86,           2.9274,          0.55618,            1.711,           591.86
